Algorithm,Execution_time_500_1,Execution_time_500_2,Execution_time_500_3,Average,std
Local_search_BFS_Execution_time_sharing_alpha_LSLD.csv,1070.577582,1080.73444,1402.89519,1184.735738,188.9998691
Local_search_BFS_Execution_time_sharing_alpha_LSMD.csv,1077.672766,1476.486894,1213.300838,1255.820166,202.7784434
Local_search_BFS_Execution_time_sharing_alpha_LSHD.csv,1043.258377,1240.141739,1091.556599,1124.985572,102.6103636
Local_search_BFS_Execution_time_sharing_alpha_MSLD.csv,1116.638509,1452.995515,1444.863935,1338.165986,191.8915007
Local_search_BFS_Execution_time_sharing_alpha_MSMD.csv,1202.784478,1036.582577,1148.423523,1129.263526,84.74135406
Local_search_BFS_Execution_time_sharing_alpha_MSHD.csv,1264.03543,1407.000948,1225.912993,1298.983124,95.46841274
Local_search_BFS_Execution_time_sharing_alpha_HSLD.csv,1114.081647,1194.342582,1015.325416,1107.916548,89.66767958
Local_search_BFS_Execution_time_sharing_alpha_HSMD.csv,1195.598081,1229.519507,1402.966604,1276.028064,111.2326862
Local_search_BFS_Execution_time_sharing_alpha_HSHD.csv,1293.46652,1263.090683,1103.942068,1220.166423,101.7926741
Local_search_BFS_Execution_time_sharing_beta_LSLD.csv,1123.689856,1022.73521,1286.905668,1144.443578,133.3024585
Local_search_BFS_Execution_time_sharing_beta_LSMD.csv,1217.810961,1319.38958,1074.882943,1204.027828,122.8346651
Local_search_BFS_Execution_time_sharing_beta_LSHD.csv,1423.814792,1429.557709,1499.086938,1450.819813,41.8990667
Local_search_BFS_Execution_time_sharing_beta_MSLD.csv,1450.343297,1206.98627,1107.704925,1255.011498,176.2954348
Local_search_BFS_Execution_time_sharing_beta_MSMD.csv,1189.008628,1042.170448,1052.933907,1094.704328,81.8470452
Local_search_BFS_Execution_time_sharing_beta_MSHD.csv,1335.749171,1349.855986,1256.174117,1313.926425,50.50987367
Local_search_BFS_Execution_time_sharing_beta_HSLD.csv,1103.695374,1476.560943,1310.080468,1296.778928,186.788333
